alternativeId,name,address.streetAddress,address.addressLocality,address.addressRegion,address.postalCode,adress.addressCountry,location,telephone,opeId,ipedsId,url
100016,Community College of the Air Force,130 W Maxwell Blvd,Montgomery,AL,36112-6613,US,"Montgomery, AL",334-953-6436,1230800,100636,www.maxwell.af.mil/au/ccaf/
100025,Alabama A & M University,4900 Meridian St,Normal,AL,35762,US,"Normal, AL",256-372-5000,100200,100654,www.aamu.edu/
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,35233,US,"Birmingham, AL",205-934-4011,105200,100663,www.uab.edu
100043,Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553,US,"Montgomery, AL",334-387-3877-100,2503400,100690,www.amridgeuniversity.edu
100052,University of Alabama at Huntsville,301 Sparkman Dr,Huntsville,AL,35899,US,"Huntsville, AL",256-824-6120,105500,100706,www.uah.edu
100061,Alabama State University,915 S Jackson Street,Montgomery,AL,36104,US,"Montgomery, AL",334-229-4400,100500,100724,www.alasu.edu
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,35487-0100,US,"Tuscaloosa, AL",205-348-6010,105100,100751,www.ua.edu/
100098,Central Alabama Community College,1675 Cherokee Road,Alexander City,AL,35010,US,"Alexander City, AL",256-234-6346,100700,100760,www.cacc.edu
100104,Athens State University,300 N Beaty St,Athens,AL,35611,US,"Athens, AL",256-233-8100,100800,100812,www.athens.edu
100113,Auburn University-Montgomery,7440 East Drive P.O. Box 244023,Montgomery,AL,36117-3596,US,"Montgomery, AL",334-244-3000,831000,100830,www.aum.edu
100122,Auburn University Main Campus,,Auburn University,AL,36849,US,"Auburn University, AL",334-844-4000,100900,100858,www.auburn.edu
100140,Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,35254,US,"Birmingham, AL",205-226-4600,101200,100937,www.bsc.edu
100168,Chattahoochee Valley Community College,2602 College Dr,Phenix City,AL,36869,US,"Phenix City, AL",334-291-4900,1218200,101028,www.cv.edu
100177,Concordia College Alabama,1804 Green Street,Selma,AL,36701,US,"Selma, AL",334-874-5700-100,1055400,101073,www.concordiaselma.edu
100201,DCH Regional Medical Center,"809 University Blvd., East",Tuscaloosa,AL,35401,US,"Tuscaloosa, AL",,,101125,www.dchsystem.com
100210,Enterprise State Community College,600 Plaza Drive,Enterprise,AL,36330-1300,US,"Enterprise, AL",334-347-2623,101500,101143,www.escc.edu
100229,James H. Faulkner State Community College,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,US,"Bay Minette, AL",251-580-2100,106000,101161,www.faulknerstate.edu
100238,Faulkner University,5345 Atlanta Hwy,Montgomery,AL,36109-3378,US,"Montgomery, AL",334-272-5820,100300,101189,www.faulkner.edu
100247,Gadsden Business College,3225 Rainbow Drive Suite 246,Rainbow City,AL,35906,US,"Rainbow City, AL",256-442-2805,446200,101231,www.gadsdenbusinesscollege.com
